Epoch: [0][0/1345], lr: 0.00100	Time 81.149 (81.149)	Data 15.132 (15.132)	Loss 5.2109 (5.2109)	Prec@1 0.000 (0.000)	Prec@5 4.688 (4.688)
Epoch: [0][20/1345], lr: 0.00100	Time 0.892 (4.792)	Data 0.000 (0.721)	Loss 5.1289 (5.1784)	Prec@1 1.562 (0.744)	Prec@5 4.688 (3.199)
Epoch: [0][40/1345], lr: 0.00100	Time 0.890 (2.903)	Data 0.000 (0.369)	Loss 5.1419 (5.1595)	Prec@1 0.000 (0.800)	Prec@5 3.125 (3.544)
Epoch: [0][60/1345], lr: 0.00100	Time 0.893 (2.251)	Data 0.000 (0.248)	Loss 5.0988 (5.1431)	Prec@1 1.562 (0.973)	Prec@5 3.125 (3.945)
Epoch: [0][80/1345], lr: 0.00100	Time 1.053 (1.926)	Data 0.000 (0.187)	Loss 5.1105 (5.1333)	Prec@1 0.000 (0.984)	Prec@5 4.688 (4.186)
Epoch: [0][100/1345], lr: 0.00100	Time 0.890 (1.725)	Data 0.000 (0.150)	Loss 5.0947 (5.1216)	Prec@1 1.562 (1.098)	Prec@5 1.562 (4.440)
Epoch: [0][120/1345], lr: 0.00100	Time 0.914 (1.595)	Data 0.000 (0.125)	Loss 5.1057 (5.1113)	Prec@1 1.562 (1.175)	Prec@5 4.688 (4.713)
Epoch: [0][140/1345], lr: 0.00100	Time 0.888 (1.499)	Data 0.000 (0.108)	Loss 5.0162 (5.1004)	Prec@1 1.562 (1.330)	Prec@5 6.250 (5.109)
Epoch: [0][160/1345], lr: 0.00100	Time 0.905 (1.429)	Data 0.000 (0.094)	Loss 4.8866 (5.0896)	Prec@1 3.125 (1.368)	Prec@5 7.812 (5.483)
Epoch: [0][180/1345], lr: 0.00100	Time 0.898 (1.374)	Data 0.000 (0.084)	Loss 4.9323 (5.0804)	Prec@1 0.000 (1.433)	Prec@5 6.250 (5.715)
Epoch: [0][200/1345], lr: 0.00100	Time 0.894 (1.329)	Data 0.000 (0.076)	Loss 5.1346 (5.0711)	Prec@1 0.000 (1.539)	Prec@5 4.688 (5.900)
Epoch: [0][220/1345], lr: 0.00100	Time 0.889 (1.293)	Data 0.000 (0.069)	Loss 5.0308 (5.0609)	Prec@1 0.000 (1.605)	Prec@5 4.688 (6.179)
Epoch: [0][240/1345], lr: 0.00100	Time 0.906 (1.263)	Data 0.000 (0.063)	Loss 5.1077 (5.0509)	Prec@1 0.000 (1.699)	Prec@5 4.688 (6.464)
Epoch: [0][260/1345], lr: 0.00100	Time 0.974 (1.238)	Data 0.000 (0.058)	Loss 4.8963 (5.0384)	Prec@1 1.562 (1.832)	Prec@5 12.500 (6.867)
Epoch: [0][280/1345], lr: 0.00100	Time 0.881 (1.216)	Data 0.000 (0.054)	Loss 4.9664 (5.0297)	Prec@1 1.562 (1.885)	Prec@5 10.938 (7.162)
Epoch: [0][300/1345], lr: 0.00100	Time 0.901 (1.197)	Data 0.000 (0.051)	Loss 4.9694 (5.0174)	Prec@1 0.000 (1.973)	Prec@5 7.812 (7.553)
Epoch: [0][320/1345], lr: 0.00100	Time 0.896 (1.180)	Data 0.000 (0.047)	Loss 4.8940 (5.0050)	Prec@1 4.688 (2.074)	Prec@5 15.625 (7.871)
Epoch: [0][340/1345], lr: 0.00100	Time 0.900 (1.164)	Data 0.000 (0.045)	Loss 4.6701 (4.9917)	Prec@1 3.125 (2.199)	Prec@5 17.188 (8.303)
Epoch: [0][360/1345], lr: 0.00100	Time 0.883 (1.151)	Data 0.000 (0.042)	Loss 4.7699 (4.9819)	Prec@1 7.812 (2.346)	Prec@5 15.625 (8.708)
Epoch: [0][380/1345], lr: 0.00100	Time 0.902 (1.139)	Data 0.000 (0.040)	Loss 4.9541 (4.9711)	Prec@1 0.000 (2.428)	Prec@5 6.250 (8.998)
Epoch: [0][400/1345], lr: 0.00100	Time 0.898 (1.128)	Data 0.000 (0.038)	Loss 4.8540 (4.9583)	Prec@1 4.688 (2.611)	Prec@5 17.188 (9.348)
Epoch: [0][420/1345], lr: 0.00100	Time 0.891 (1.119)	Data 0.000 (0.036)	Loss 4.9388 (4.9466)	Prec@1 6.250 (2.754)	Prec@5 14.062 (9.720)
Epoch: [0][440/1345], lr: 0.00100	Time 0.903 (1.110)	Data 0.000 (0.035)	Loss 4.9065 (4.9380)	Prec@1 3.125 (2.813)	Prec@5 14.062 (9.921)
Epoch: [0][460/1345], lr: 0.00100	Time 0.880 (1.102)	Data 0.001 (0.033)	Loss 4.8517 (4.9274)	Prec@1 4.688 (2.908)	Prec@5 18.750 (10.219)
Epoch: [0][480/1345], lr: 0.00100	Time 0.890 (1.095)	Data 0.000 (0.032)	Loss 4.4525 (4.9148)	Prec@1 10.938 (3.041)	Prec@5 23.438 (10.587)
Epoch: [0][500/1345], lr: 0.00100	Time 0.974 (1.088)	Data 0.000 (0.031)	Loss 4.8084 (4.9037)	Prec@1 1.562 (3.144)	Prec@5 18.750 (10.906)
Epoch: [0][520/1345], lr: 0.00100	Time 0.873 (1.082)	Data 0.000 (0.029)	Loss 4.4527 (4.8932)	Prec@1 15.625 (3.284)	Prec@5 25.000 (11.177)
Epoch: [0][540/1345], lr: 0.00100	Time 0.879 (1.076)	Data 0.000 (0.028)	Loss 4.7609 (4.8836)	Prec@1 4.688 (3.370)	Prec@5 15.625 (11.515)
Epoch: [0][560/1345], lr: 0.00100	Time 0.911 (1.071)	Data 0.000 (0.027)	Loss 4.2341 (4.8705)	Prec@1 15.625 (3.540)	Prec@5 31.250 (11.887)
Epoch: [0][580/1345], lr: 0.00100	Time 0.989 (1.065)	Data 0.000 (0.026)	Loss 4.7867 (4.8616)	Prec@1 1.562 (3.652)	Prec@5 14.062 (12.142)
Epoch: [0][600/1345], lr: 0.00100	Time 0.893 (1.061)	Data 0.000 (0.025)	Loss 4.6528 (4.8506)	Prec@1 7.812 (3.783)	Prec@5 15.625 (12.435)
