Epoch: [0][0/1345], lr: 0.00100	Time 81.092 (81.092)	Data 11.948 (11.948)	Loss 5.1169 (5.1169)	Prec@1 0.000 (0.000)	Prec@5 6.250 (6.250)
Epoch: [0][20/1345], lr: 0.00100	Time 1.492 (5.309)	Data 0.000 (0.569)	Loss 5.1187 (5.1879)	Prec@1 3.125 (1.042)	Prec@5 6.250 (3.646)
Epoch: [0][40/1345], lr: 0.00100	Time 1.427 (3.427)	Data 0.000 (0.292)	Loss 5.2197 (5.1748)	Prec@1 0.000 (0.991)	Prec@5 1.562 (3.735)
Epoch: [0][60/1345], lr: 0.00100	Time 1.410 (2.783)	Data 0.000 (0.196)	Loss 5.1161 (5.1637)	Prec@1 1.562 (0.973)	Prec@5 3.125 (3.663)
Epoch: [0][80/1345], lr: 0.00100	Time 1.460 (2.459)	Data 0.000 (0.148)	Loss 5.0661 (5.1553)	Prec@1 1.562 (0.984)	Prec@5 4.688 (3.665)
Epoch: [0][100/1345], lr: 0.00100	Time 1.442 (2.263)	Data 0.000 (0.119)	Loss 5.1143 (5.1460)	Prec@1 0.000 (0.959)	Prec@5 3.125 (3.883)
Epoch: [0][120/1345], lr: 0.00100	Time 1.473 (2.133)	Data 0.000 (0.099)	Loss 5.1087 (5.1358)	Prec@1 3.125 (0.904)	Prec@5 3.125 (4.055)
Epoch: [0][140/1345], lr: 0.00100	Time 1.444 (2.038)	Data 0.001 (0.085)	Loss 5.1658 (5.1282)	Prec@1 1.562 (0.898)	Prec@5 1.562 (4.012)
Epoch: [0][160/1345], lr: 0.00100	Time 1.530 (1.969)	Data 0.000 (0.075)	Loss 5.0233 (5.1201)	Prec@1 0.000 (0.873)	Prec@5 6.250 (4.134)
Epoch: [0][180/1345], lr: 0.00100	Time 1.452 (1.914)	Data 0.000 (0.066)	Loss 5.0999 (5.1158)	Prec@1 1.562 (0.915)	Prec@5 6.250 (4.290)
Epoch: [0][200/1345], lr: 0.00100	Time 1.507 (1.870)	Data 0.000 (0.060)	Loss 5.2052 (5.1109)	Prec@1 1.562 (0.933)	Prec@5 4.688 (4.423)
Epoch: [0][220/1345], lr: 0.00100	Time 1.448 (1.834)	Data 0.000 (0.054)	Loss 5.1008 (5.1035)	Prec@1 0.000 (0.997)	Prec@5 3.125 (4.645)
